Seed,Pass/Fail,log2traces inner hash,log2traces outer hash,log2 hypotheses inner hash,log2 hypotheses outer hash,total time,inner time - 15,outer time - 15,inner time - 16,outer time - 16,inner time - 17,outer time - 17,inner time - 18,outer time - 18,inner time - 19,outer time - 19,inner time - 20,outer time - 20,inner time - 21,outer time - 21,inner time - 22,outer time - 22,inner time - 23,outer time - 23,inner time - 24,outer time - 24,inner time - 25,outer time - 25,inner time - 26,outer time - 26,inner time - 27,outer time - 27,inner time - 28,outer time - 28,inner time - 29,outer time - 29,inner time - 30,outer time - 30
0,Success,20,19,1,2,44.315,0.034,0.204,0.067,0.51,0.13,1.094,0.386,2.229,0.761,11.999,26.9,,,,,,,,,,,,,,,,,,,,,
1,Success,18,17,2,0,7.038,0.02,0.196,0.044,0.425,0.367,2.37,3.616,,,,,,,,,,,,,,,,,,,,,,,,,
2,Success,18,17,2,0,9.117,0.006,0.211,0.078,0.463,0.144,2.334,5.881,,,,,,,,,,,,,,,,,,,,,,,,,
3,Success,18,17,1,2,10.282,0.015,0.201,0.028,0.495,0.169,3.904,5.469,,,,,,,,,,,,,,,,,,,,,,,,,
4,Success,17,17,1,0,5.996,0.025,0.23,0.16,0.427,2.777,2.377,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Success,16,18,1,0,7.077,0.038,0.202,0.927,0.397,,0.836,,4.677,,,,,,,,,,,,,,,,,,,,,,,,
6,Success,17,16,0,1,3.26,0.048,0.2,0.158,1.282,1.572,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Success,19,19,0,1,21.523,0.017,0.209,0.081,0.441,0.162,0.899,0.312,1.839,6.436,11.127,,,,,,,,,,,,,,,,,,,,,,
8,Success,17,18,1,1,10.124,0.004,0.203,0.043,0.405,1.644,0.829,,6.996,,,,,,,,,,,,,,,,,,,,,,,,
9,Success,21,17,1,2,78.64,0.042,0.252,0.164,0.568,0.306,3.75,0.589,,1.244,,3.086,,68.641,,,,,,,,,,,,,,,,,,,
10,Success,16,19,0,4,27.311,0.049,0.198,0.847,0.463,,0.932,,1.905,,22.916,,,,,,,,,,,,,,,,,,,,,,
11,Success,16,16,0,2,3.172,0.012,0.235,0.848,2.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Success,22,18,0,0,104.568,0.011,0.213,0.031,0.435,0.063,1.101,0.135,5.162,0.267,,0.597,,1.616,,94.936,,,,,,,,,,,,,,,,,
13,Success,19,22,0,0,231.742,0.026,0.208,0.06,0.415,0.37,0.966,0.738,2.233,6.401,5.334,,14.025,,32.014,,168.95,,,,,,,,,,,,,,,,
14,Success,18,18,1,1,12.61,0.019,0.229,0.034,0.445,0.23,1.185,3.283,7.185,,,,,,,,,,,,,,,,,,,,,,,,
15,Success,21,17,1,1,51.864,0.023,0.204,0.094,0.442,0.174,2.538,0.515,,1.075,,2.399,,44.4,,,,,,,,,,,,,,,,,,,
16,Success,18,21,0,1,119.29,0.081,0.211,0.146,0.405,0.278,1.206,3.177,1.806,,7.934,,23.652,,80.394,,,,,,,,,,,,,,,,,,
17,Success,17,18,0,0,7.774,0.034,0.201,0.017,0.396,1.601,0.793,,4.732,,,,,,,,,,,,,,,,,,,,,,,,
18,Success,19,18,2,0,28.342,0.021,0.205,0.036,0.406,0.295,0.819,0.569,4.645,21.346,,,,,,,,,,,,,,,,,,,,,,,
19,Success,17,16,2,1,6.768,0.012,0.191,0.114,1.287,5.164,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Success,16,19,1,1,20.962,0.034,0.316,1.485,0.575,,1.098,,2.356,,15.099,,,,,,,,,,,,,,,,,,,,,,
21,Success,23,17,1,0,444.283,0.023,0.206,0.017,0.4,0.28,2.348,0.565,,1.153,,3.217,,7.443,,24.252,,404.38,,,,,,,,,,,,,,,
22,Success,17,19,1,0,20.781,0.017,0.197,0.03,0.391,2.775,0.876,,1.6,,14.894,,,,,,,,,,,,,,,,,,,,,,
23,Success,18,17,0,1,7.824,0.011,0.212,0.114,0.479,0.305,3.577,3.125,,,,,,,,,,,,,,,,,,,,,,,,,
24,Success,21,21,2,0,177.652,0.023,0.2,0.056,0.394,0.258,0.899,0.197,1.805,0.393,7.069,2.477,20.374,70.78,72.728,,,,,,,,,,,,,,,,,,
25,Success,18,17,1,2,12.273,0.01,0.203,0.048,0.395,0.081,6.024,5.512,,,,,,,,,,,,,,,,,,,,,,,,,
26,Success,17,18,1,1,11.266,0.031,0.203,0.054,0.396,2.751,0.806,,7.026,,,,,,,,,,,,,,,,,,,,,,,,
27,Success,17,17,4,0,9.659,0.007,0.211,0.087,0.545,6.451,2.358,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Success,17,20,2,1,50.734,0.05,0.212,0.088,0.409,3.072,0.839,,1.965,,9.493,,34.606,,,,,,,,,,,,,,,,,,,,
29,Success,17,17,1,1,6.053,0.025,0.245,0.081,0.441,2.835,2.427,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Success,19,18,1,1,16.382,0.021,0.227,0.038,0.453,0.125,0.98,0.242,7.158,7.138,,,,,,,,,,,,,,,,,,,,,,,
31,Success,21,20,1,1,126.158,0.013,0.221,0.034,0.462,0.279,0.917,0.537,2.213,1.123,8.199,2.894,45.776,63.49,,,,,,,,,,,,,,,,,,,
32,Success,19,18,1,1,19.371,0.012,0.211,0.203,0.525,0.376,1.055,0.721,4.826,11.443,,,,,,,,,,,,,,,,,,,,,,,
33,Success,20,17,0,1,19.53,0.014,0.218,0.028,0.438,0.057,3.567,0.122,,0.244,,14.843,,,,,,,,,,,,,,,,,,,,,
34,Success,16,20,2,0,49.991,0.066,0.219,0.997,0.461,,0.955,,1.967,,10.394,,34.931,,,,,,,,,,,,,,,,,,,,
35,Success,17,20,2,3,74.402,0.032,0.215,0.215,0.419,5.197,0.923,,1.868,,9.969,,55.564,,,,,,,,,,,,,,,,,,,,
