Seed,Pass/Fail,log2traces inner hash,log2traces outer hash,log2 hypotheses inner hash,log2 hypotheses outer hash,total time,inner time - 15,outer time - 15,inner time - 16,outer time - 16,inner time - 17,outer time - 17,inner time - 18,outer time - 18,inner time - 19,outer time - 19,inner time - 20,outer time - 20,inner time - 21,outer time - 21,inner time - 22,outer time - 22,inner time - 23,outer time - 23,inner time - 24,outer time - 24,inner time - 25,outer time - 25,inner time - 26,outer time - 26,inner time - 27,outer time - 27,inner time - 28,outer time - 28,inner time - 29,outer time - 29,inner time - 30,outer time - 30
0,Success,21,18,1,2,75.054,0.009,0.188,0.036,0.393,0.129,0.796,0.251,5.257,0.533,,1.248,,66.213,,,,,,,,,,,,,,,,,,,
1,Success,20,18,2,0,24.222,0.016,0.206,0.035,0.396,0.064,0.859,0.125,4.695,0.251,,17.575,,,,,,,,,,,,,,,,,,,,,
2,Success,19,19,2,0,32.341,0.019,0.264,0.034,0.485,0.143,0.952,0.134,2.43,13.599,14.28,,,,,,,,,,,,,,,,,,,,,,
3,Success,19,18,1,2,21.874,0.006,0.198,0.027,0.496,0.164,0.922,0.33,8.205,11.526,,,,,,,,,,,,,,,,,,,,,,,
4,Success,17,19,1,0,17.765,0.011,0.198,0.02,0.439,2.738,0.998,,2.103,,11.257,,,,,,,,,,,,,,,,,,,,,,
5,Success,19,20,1,0,41.935,0.01,0.191,0.067,0.382,0.267,0.781,0.683,1.973,6.981,4.985,,25.616,,,,,,,,,,,,,,,,,,,,
6,Success,18,19,0,1,19.598,0.011,0.194,0.02,0.461,0.037,1.305,3.109,2.32,,12.14,,,,,,,,,,,,,,,,,,,,,,
7,Success,19,18,0,1,13.905,0.017,0.204,0.03,0.462,0.162,0.955,0.307,5.257,6.51,,,,,,,,,,,,,,,,,,,,,,,
8,Success,17,19,1,1,21.198,0.004,0.203,0.007,0.428,1.627,0.844,,1.768,,16.319,,,,,,,,,,,,,,,,,,,,,,
9,Success,21,20,1,2,130.837,0.011,0.224,0.074,0.424,0.174,1.024,0.612,2.549,1.229,6.249,2.708,39.152,76.408,,,,,,,,,,,,,,,,,,,
10,Success,17,20,0,4,65.495,0.011,0.194,0.179,0.466,1.546,1.019,,2.286,,6.126,,53.669,,,,,,,,,,,,,,,,,,,,
11,Success,18,17,0,2,7.719,0.004,0.211,0.023,0.441,0.074,3.866,3.101,,,,,,,,,,,,,,,,,,,,,,,,,
12,Success,24,18,0,0,471.69,0.013,0.233,0.023,0.457,0.043,0.895,0.109,4.903,0.246,,0.644,,1.875,,4.122,,9.683,,448.443,,,,,,,,,,,,,
13,Success,21,23,0,0,566.975,0.026,0.21,0.093,0.417,0.172,0.949,0.727,2.007,1.457,5.514,3.179,14.06,39.912,30.848,,88.207,,379.197,,,,,,,,,,,,,,
14,Success,16,20,1,1,47.739,0.015,0.195,0.878,0.452,,0.857,,2.023,,5.35,,37.969,,,,,,,,,,,,,,,,,,,,
15,Success,19,19,1,1,22.342,0.011,0.192,0.09,0.383,0.043,0.799,0.525,2.224,6.682,11.394,,,,,,,,,,,,,,,,,,,,,,
